VEHICLE NO,LOCATION,NO.OF BINS,IST TRIP,IIND TRIP,IIRD TRIP,REMARKS,Zone,Div,Shift
 TN 22 CH 1357,EB ROAD NEAR BSNL OFFICE,3,10.2,-,-, ,7,92,0
 TN 22 CF 6194,6TH BLOCK,3,12.1,-,-, ,7,93,0
TN 04 AC 6127,BABA NAGAR 13TH STREET,1,10.00 AM,1.00PM, , ,8,94,0
TN 04 - 2841 ,100 FEET ( NEAR MALAR COLONY ),2,7.15 AM,10.55 AM, , ,8,95,0
TN 04 AQ 4857,GANDHI NAGAR (TNSP),4,8.25AM,10.30AM,1.10 PM, ,8,96,0
TN 04 AQ 6252 ,MASUTHI (VEERASAMY STREET),9,7.45 AM TO 8.15 AM,10.35 AM TO10.45 AM,12.15 PM TO 12.30 PM, ,8,97,0
TN-01 AQ 4843 ,AYANAVARAM MAIN ROAD ( OPP SIDE BAKERY),2, ,10.55 AM,12.25 PM, ,8,98,0
TN 22 CF 5473,12TH MAIN ROAD SHANTHI COLONY,1,7.55 AM,11.35 AM, , ,8,99,0
TN04 AY 6892 ,11TH MAIN ROAD AC BLOCK,1,8.10 AM,12.15 PM, , ,8,100,0
TN 22 BR 9446,2ND MAIN ROAD ( VALLIAMMAL COLLAGE BACKSIDE),3,8.05AM,12.05PM, , ,8,101,0
TN 22 CF 5531,1ST AVENUE,3,7.00 AM,12.30 PM, , ,8,102,0
TN 04 AY 6858,BALFOUR ROAD,1,8.30AM,12.30AM, , ,8,103,0
TN 22 BR 9625,ADIAPPA ST NEAR NOBLE HOSPITAL,2,8.00 AM, ,11.30 AM, ,8,104,0
TN 04 6855 ,100FT ROAD (AMBALAVANAN STREET),1,7.40 AM,10.45 AM, , ,8,105,0
TN 22 CH 8292,AMINIJIKARAI EAST VELLALAR STREET,2,7.05 AM,10.30 AM, , ,8,106,0
TN 04 AQ 4837,APPARAO GARDEN(DOBHI KANA),2,8.30 AM,-,12.00 PM, ,8,107,0
TN 04 AQ 6253,ANDAVAR STREET,1, ,10.15 AM, , ,8,108,0
TN02BU 0441,NETTU KUPPAM,2, ,11.00 AM, ,DAY,1,1,0
TN02BU 0441,SVM NAGAR,14, ,11.15 AM, ,DAY,1,1,1
TN02BU 0421,THALANAG KLUPPAM MARKET,2,10.40 PM, , ,NIGHT,1,1,2
TN02BU 0421,CHINNA KUPPAM,3,02.30  PM, , ,NOON,1,2,0
TN02BU 0441,KH ROAD(ASHOK LEYLAND),5,07.30 AM, , ,DAY,1,2,1
TN02BU 0421,ENNORE MARKET,8,10.55 PM, , ,NIGHT,1,2,2
TN02BU 0441,AS NAGAR 1ST STREET,2, ,12.40 PM, ,DAY,1,3,0
TN02BU 0441,AS NAGAR 1ST STREET,2, ,12.40 PM, ,DAY,1,3,1
TN02BU 0421,AS NAGAR RRC POINT,8,09.40 PM, , ,NIGHT,1,3,2
TN02BU 0441,JOTHY NAGAR,8,06.15 AM, , ,DAY,1,4,0
TN02BU 0441,JOTHY NAGAR,8,06.15 AM, , ,DAY,1,4,1
TN02BU 0407,LIFT GATE,2,07.50 AM, , ,DAY,1,5,0
TN02BU 0407,LIFT GATE,2,07.50 AM, , ,DAY,1,5,1
TN02BU 0421,NEITHAL NAGAR,5,`,03.30 AM, ,NIGHT,1,5,2
TN02BU 0407,KALAIGNAR NAGAR,4,06.15 AM, , ,DAY,1,6,0
TN02BU 0407,KALAIGNAR NAGAR,4,06.15 AM, , ,DAY,1,6,1
TN02BU 0421,BASIN ROAD,2,`,12.45 AM, ,NIGHT,1,7,0
TN02BU 0407,KARGHIL NAGAR,4,08.35 AM, , ,DAY,1,7,1
TN02BU 0421,BASIN ROAD,2,`,12.45 AM, ,NIGHT,1,7,2
TN02BU 0407,ENNORE EXPRESS ROAD(RRC POINT),7, ,12.30 PM, ,DAY,1,8,0
TN02BU 0407,PERIYAR NAGAR,4, ,11.40 AM, ,DAY,1,8,1
TN02BU 0407,PERIYAR NAGAR,4,9.00 PM, , ,NIGHT,1,8,2
TN02BU 0407,MVM NAGAR,9,10.25 PM, , ,NIGHT,1,9,0
TN02BU 0407,PATTINATHAR KOIL,3,09.55 PM, , ,NIGHT,1,9,2
TN02BU 0421,EAST TANK ROAD,2,06.30 AM, , ,DAY,1,10,0
TN02BU 0421,NORTH MAADA STREET,3,06.50 AM, , ,DAY,1,10,1
TN02BU 0407,EAST TANK ROAD,2,11.00 PM, , ,NIGHT,1,10,2
TN02BU 0421,KANNAKKAR STREET,9,07.10 AM, , ,DAY,1,11,0
TN02BU 0421,KANNAKKAR STREET,9,07.10 AM, , ,DAY,1,11,1
TN02BU 0421,SATHANGADDU ROAD,8, ,12.00 AM, ,DAY,1,12,0
TN02BU 0421,SATHANGADDU ROAD,8, ,12.00 AM, ,DAY,1,12,1
TN02BU 0407,METTU STREET,11, ,02.30 AM, ,NIGHT,1,13,0
TN02BU 0421,SEASACHALA GRAMANI STREET,4, ,11.10 AM, ,DAY,1,13,1
TN02BU 0407,TH ROAD,6, ,01.50 AM, ,NIGHT,1,14,0
TN02BU 0421,THIRUCHINNAKUPPAM,3,08.25 AM, , ,DAY,1,14,1
TN 02 BU 0442,"150 FEET ROAD,MNT",12,9.45PM, , ,NIGHT,2,15,0
