Title,Rice,Wheat,Atta,Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati/Dalda,Soya Oil,Sunflower Oil,Palm Oil,Jaggery,Tea,Salt,Potato,Onion,Tomato,Date,Lat,Lon,Zone
SHAJAPUR,51,23,26,70,115,100,95,81,40,57,171,115,116,103,115,NR,40,232,27,21,19,25,2023-06-15,,,
DEWAS,33,22,28,73,128,96,96,84,39,60,173,122,119,99,121,NR,48,200,10,20,10,24,2023-06-15,,,
KHARGONE,38,27,35,78,133,110,110,93,40,55,185,185,155,120,190,NR,45,400,28,20,15,20,2023-06-15,,,
SINGRAULI,45,24,35,73,138,92,110,100,44,60,208,127,105,113,163,100,50,350,28,21,20,36,2023-06-15,,,
CHHINDWARA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
SEHORE,32,25,27,70,149,104,105,84,45,50,181,128,124,105,129,NR,47,212,11,17,14,19,2023-06-15,,,
MP-ASHOKNAGAR,41,29,31,64,122,117,115,85,40,57,260,162,138,122,173,120,38,228,28,20,20,25,2023-06-15,,,
BALAGHAT,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
GUNA,35,25,30,67,145,100,100,80,40,60,188,122,108,105,134,105,45,210,28,15,15,17,2023-06-15,,,
RATLAM,33,24,30,71,154,110,120,91,41,55,187,141,118,106,116,109,49,300,11,19,18,25,2023-06-15,,,
SATNA,34,26,31,67,132,93,95,90,42,60,157,127,125,110,137,118,46,200,28,18,16,29,2023-06-15,,,
VIDISHA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
ALIRAJPUR,32,25,35,73,118,107,110,90,40,65,185,145,147,109,142,97,50,290,10,22,20,30,2023-06-15,,,
BETUL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
DAMOH,36,35,35,72,146,110,130,82,42,55,210,140,138,112,143,NR,45,170,10,20,20,35,2023-06-15,,,
