Month ,Type,City,Rate
2019-09-01,19 Kg,Chennai,1174.5
2019-09-01,19 Kg,Delhi,1054.5
2019-09-01,19 Kg,Delhi ,1054.5
2019-09-01,19 Kg,Kolkata,1114.5
2019-09-01,19 Kg,Kolkata ,1114.5
2019-09-01,19 Kg,Mumbai,1008.5
2019-09-01,19 Kg,Mumbai ,1008.5
2019-08-01,19 Kg,Chennai,1123
2019-08-01,19 Kg,Delhi,1004
2019-08-01,19 Kg,Delhi ,1004.0
2019-08-01,19 Kg,Kolkata,1063.5
2019-08-01,19 Kg,Kolkata ,1063.5
2019-08-01,19 Kg,Mumbai,958.0
2019-08-01,19 Kg,Mumbai ,958.0
2019-07-01,19 Kg,Chennai,1249
2019-07-01,19 Kg,Delhi,1130
2019-07-01,19 Kg,Delhi ,1130.0
2019-07-01,19 Kg,Kolkata,1188.5
2019-07-01,19 Kg,Kolkata ,1188.5
2019-07-01,19 Kg,Mumbai,1084.0
2019-07-01,19 Kg,Mumbai ,1084.0
2019-06-01,19 Kg,Chennai,1427.5
2019-06-01,19 Kg,Delhi,1328
2019-06-01,19 Kg,Delhi ,1328.0
2019-06-01,19 Kg,Kolkata,1376
2019-06-01,19 Kg,Kolkata ,1376.0
2019-06-01,19 Kg,Mumbai,1275.0
2019-06-01,19 Kg,Mumbai ,1275.0
2019-05-01,19 Kg,Chennai,1427
2019-05-01,19 Kg,Delhi,1328
2019-05-01,19 Kg,Delhi ,1328.0
2019-05-01,19 Kg,Kolkata,1376
2019-05-01,19 Kg,Kolkata ,1376.0
2019-05-01,19 Kg,Mumbai,1275.0
2019-05-01,19 Kg,Mumbai ,1275.0
2019-04-01,19 Kg,Chennai,1405
2019-04-01,19 Kg,Delhi,1305.5
2019-04-01,19 Kg,Delhi ,1305.5
2019-04-01,19 Kg,Kolkata,1354.5
2019-04-01,19 Kg,Kolkata ,1354.5
2019-04-01,19 Kg,Mumbai,1253.5
2019-04-01,19 Kg,Mumbai ,1253.5
2019-03-01,19 Kg,Chennai,1336
2019-03-01,19 Kg,Delhi,1237
2019-03-01,19 Kg,Delhi ,1237.0
2019-03-01,19 Kg,Kolkata,1287
2019-03-01,19 Kg,Kolkata ,1287.0
2019-03-01,19 Kg,Mumbai,1185.0
2019-03-01,19 Kg,Mumbai ,1185.0
2019-02-01,19 Kg,Chennai,1267.5
2019-02-01,19 Kg,Delhi,1170.5
2019-02-01,19 Kg,Delhi ,1170.5
2019-02-01,19 Kg,Kolkata,1217.5
2019-02-01,19 Kg,Kolkata ,1217.5
2019-02-01,19 Kg,Mumbai,1117.0
2019-02-01,19 Kg,Mumbai ,1117.0
2019-01-01,19 Kg,Chennai,1313
2019-01-01,19 Kg,Delhi,1214.5
2019-01-01,19 Kg,Delhi ,1214.5
2019-01-01,19 Kg,Kolkata,1262
2019-01-01,19 Kg,Kolkata ,1262.0
2019-01-01,19 Kg,Mumbai,1161.0
2019-01-01,19 Kg,Mumbai ,1161.0
2018-12-01,19 Kg,Chennai,1504
2018-12-01,19 Kg,Delhi,1404.5
2018-12-01,19 Kg,Delhi ,1404.5
2018-12-01,19 Kg,Kolkata,1455.5
2018-12-01,19 Kg,Kolkata ,1455.5
2018-12-01,19 Kg,Mumbai,1351.5
2018-12-01,19 Kg,Mumbai ,1351.5
2018-11-07,19 Kg,Chennai,1702
2018-11-07,19 Kg,Delhi,1614.5
2018-11-07,19 Kg,Delhi ,1614.5
2018-11-07,19 Kg,Kolkata,1664
2018-11-07,19 Kg,Kolkata ,1664.0
2018-11-07,19 Kg,Mumbai,1561.5
2018-11-07,19 Kg,Mumbai ,1561.5
2018-11-01,19 Kg,Chennai,1698.5
2018-11-01,19 Kg,Delhi,1606.5
2018-11-01,19 Kg,Delhi ,1606.5
2018-11-01,19 Kg,Kolkata,1660
2018-11-01,19 Kg,Kolkata ,1660.0
2018-11-01,19 Kg,Mumbai,1558.0
2018-11-01,19 Kg,Mumbai ,1558.0
2018-10-01,19 Kg,Chennai,1602
